data,preco_BOVA11,preco_DIVO11
2021-06-23,123.54,71.89
2021-06-24,124.53,72.06
2021-06-25,122.50,70.90
2021-06-28,122.45,70.75
2021-06-29,122.31,70.40
2021-06-30,121.81,70.32
2021-07-01,120.73,70.01
2021-07-02,122.78,70.75
2021-07-05,121.97,71.25
2021-07-06,120.30,70.02
2021-07-07,122.28,70.49
2021-07-08,120.66,69.64
2021-07-12,122.78,70.85
2021-07-13,123.32,70.77
2021-07-14,123.47,71.10
2021-07-15,122.80,70.69
2021-07-16,121.15,70.14
2021-07-19,119.74,69.48
2021-07-20,120.60,69.93
2021-07-21,121.12,70.28
2021-07-22,121.43,70.22
2021-07-23,120.20,69.58
2021-07-26,121.20,69.72
2021-07-27,119.76,69.47
2021-07-28,121.45,70.18
2021-07-29,120.73,70.09
2021-07-30,117.11,68.80
2021-08-02,117.60,69.64
2021-08-03,118.73,70.08
2021-08-04,116.96,69.02
2021-08-05,116.93,68.31
2021-08-06,118.24,69.00
2021-08-09,118.14,69.88
2021-08-10,117.57,68.70
2021-08-11,117.26,68.66
2021-08-12,115.87,67.80
2021-08-13,116.56,67.95
2021-08-16,114.63,67.21
2021-08-17,113.35,66.55
2021-08-18,112.06,66.70
2021-08-19,112.85,66.72
2021-08-20,113.65,67.55
2021-08-23,113.05,67.10
2021-08-24,115.63,68.80
2021-08-25,116.14,69.18
2021-08-26,114.07,67.87
2021-08-27,116.18,68.89
2021-08-30,115.08,68.55
2021-08-31,114.08,68.24
2021-09-01,114.80,69.37
2021-09-02,112.15,67.43
2021-09-03,112.09,67.13
2021-09-06,113.48,67.48
2021-09-08,109.08,64.70
2021-09-09,111.51,66.32
2021-09-10,109.88,65.90
2021-09-13,112.12,66.95
2021-09-14,111.70,67.02
2021-09-15,110.68,66.89
2021-09-16,109.44,66.26
2021-09-17,107.14,65.40
2021-09-20,104.77,64.44
2021-09-21,105.77,65.00
2021-09-22,107.99,65.87
2021-09-23,109.60,66.70
2021-09-24,109.03,66.41
2021-09-27,108.89,66.92
2021-09-28,105.83,65.34
2021-09-29,106.83,65.68
2021-09-30,106.49,65.72
2021-10-01,108.49,66.74
2021-10-04,106.18,65.20
2021-10-05,106.12,65.25
2021-10-06,106.37,64.95
2021-10-07,106.42,64.75
2021-10-08,108.39,66.35
2021-10-11,107.75,66.40
2021-10-13,109.24,67.22
2021-10-14,108.97,67.20
2021-10-15,110.22,68.04
2021-10-18,109.95,68.40
2021-10-19,106.80,66.35
2021-10-20,106.40,66.70
2021-10-21,103.65,64.85
2021-10-22,102.33,63.65
2021-10-25,104.55,65.15
2021-10-26,102.25,64.50
2021-10-27,102.40,64.50
2021-10-28,100.61,63.65
2021-10-29,99.68,62.27
2021-11-01,101.52,64.10
2021-11-03,102.00,64.70
2021-11-04,99.65,63.15
2021-11-05,100.81,63.90
2021-11-08,100.83,63.70
2021-11-09,101.39,64.25
2021-11-10,102.02,65.20
2021-11-11,103.55,65.70
2021-11-12,102.13,65.30
2021-11-16,100.36,64.44
2021-11-17,99.25,63.26
2021-11-18,98.65,63.15
2021-11-19,99.27,63.67
2021-11-22,98.24,63.00
2021-11-23,100.00,62.04
2021-11-24,100.66,63.91
2021-11-25,101.99,65.00
2021-11-26,98.39,63.50
2021-11-29,99.01,63.46
2021-11-30,98.35,63.45
2021-12-01,97.09,62.43
2021-12-02,100.43,64.60
2021-12-03,101.32,65.70
2021-12-06,103.00,65.85
2021-12-07,103.63,65.58
2021-12-08,104.20,66.39
2021-12-09,102.14,64.90
2021-12-10,103.73,65.60
2021-12-13,103.50,65.50
2021-12-14,102.70,65.05
2021-12-15,103.20,64.35
2021-12-16,104.41,65.40
2021-12-17,103.10,64.90
2021-12-20,101.00,63.80
2021-12-21,101.42,63.70
2021-12-22,101.43,63.80
2021-12-23,100.85,64.05
2021-12-27,101.60,64.60
2021-12-28,101.06,64.36
2021-12-29,100.25,63.88
2021-12-30,100.80,64.25
2022-02-18,108.51,68.90
2022-01-18,102.85,64.53
2022-02-03,107.77,69.00
2022-01-03,99.93,63.86
2022-02-21,107.45,67.88
2022-01-19,104.05,65.41
2022-02-04,108.02,68.22
2022-01-04,99.57,63.26
2022-02-22,109.00,68.21
2022-01-20,104.90,65.74
2022-02-07,107.72,68.15
2022-01-05,97.10,62.19
2022-02-23,107.58,68.40
2022-01-21,104.70,65.75
2022-02-08,108.23,68.20
2022-01-06,97.85,62.00
2022-01-24,104.08,65.40
2022-02-24,107.48,67.30
2022-02-09,108.23,67.90
2022-01-07,98.70,62.65
2022-01-25,106.33,67.20
2022-02-25,108.90,67.25
2022-02-10,109.10,68.59
2022-01-10,98.43,62.10
2022-01-26,107.39,67.15
2022-03-02,111.10,67.90
2022-02-11,109.31,68.90
2022-01-11,100.10,62.65
2022-01-27,108.20,68.00
2022-03-03,111.02,68.59
2022-02-14,109.52,68.50
2022-01-12,101.91,63.50
2022-01-28,107.58,68.25
2022-03-04,110.40,67.95
2022-02-15,110.60,69.10
2022-01-13,101.55,63.70
2022-01-31,107.98,68.95
2022-03-07,107.11,66.30
2022-02-16,110.77,69.60
2022-01-14,103.07,64.34
2022-02-01,109.15,69.10
2022-03-08,107.29,66.45
2022-02-17,109.10,68.75
2022-01-17,102.58,65.00
2022-02-02,107.69,68.35
2022-03-09,109.78,68.85
2022-04-11,112.57,73.45
2022-03-25,114.75,74.45
2022-03-10,109.40,68.75
2022-04-12,111.77,73.15
2022-04-29,103.40,70.65
2022-03-28,114.51,74.05
2022-03-11,107.70,68.00
2022-04-13,112.52,73.55
2022-05-02,102.72,69.30
2022-03-29,115.75,74.65
2022-03-14,106.04,67.85
2022-04-14,111.65,73.70
2022-05-03,102.72,69.80
2022-03-30,115.90,74.10
2022-03-15,104.90,68.25
2022-04-18,111.46,74.35
2022-05-04,104.38,70.55
2022-03-31,115.60,74.10
2022-03-16,107.14,68.86
2022-04-19,110.92,73.35
2022-05-05,101.50,68.80
2022-04-01,117.20,75.60
2022-03-17,108.83,70.30
2022-04-20,110.05,73.50
2022-04-04,116.80,74.79
2022-05-06,101.23,69.10
2022-03-18,110.73,71.10
2022-04-22,106.75,72.15
2022-04-05,114.51,73.50
2022-05-09,99.68,68.45
2022-03-21,111.94,72.10
2022-04-06,113.87,73.50
2022-04-25,106.76,72.73
2022-05-10,99.24,68.15
2022-03-22,113.10,73.30
2022-05-11,100.64,68.65
2022-04-07,114.65,73.60
2022-04-26,104.28,71.70
2022-03-23,112.90,73.05
2022-04-08,113.98,74.00
2022-04-27,105.52,71.76
2022-05-12,102.04,69.40
2022-03-24,114.74,74.05
2022-04-28,105.86,71.85
2022-05-13,103.29,70.00
2022-06-15,99.38,69.04
2022-05-31,107.18,73.31
2022-05-16,104.40,70.50
2022-06-17,96.21,68.06
2022-06-01,107.47,73.30
2022-05-17,104.90,71.90
2022-06-20,96.29,68.41
2022-06-02,108.43,74.00
2022-05-18,102.21,70.25
2022-06-21,96.40,68.10
2022-06-03,107.48,73.10
2022-05-19,103.08,71.40
2022-06-22,96.03,68.00
2022-06-06,106.42,72.25
2022-05-20,104.66,71.95
2022-06-23,94.66,67.20
2022-06-07,106.15,71.85
2022-05-23,106.76,73.10
2022-06-24,95.47,67.14
2022-06-08,104.60,71.15
2022-05-24,106.64,74.15
2022-06-27,97.35,68.50
2022-06-09,103.68,71.00
2022-05-25,106.66,74.06
2022-06-28,97.05,68.44
2022-06-10,101.82,69.50
2022-05-26,108.02,73.41
2022-06-29,96.00,67.65
2022-06-13,99.12,68.25
2022-05-27,107.90,73.50
2022-06-30,95.00,67.33
2022-06-14,98.36,68.15
2022-05-30,106.92,73.00
2022-11-09,109.75,72.65
2022-10-20,112.90,74.95
2022-11-28,105.15,71.63
2022-12-01,107.06,73.03
2022-12-02,107.95,73.53
2022-12-05,105.63,72.49
2022-11-29,107.29,73.06
2022-12-06,106.74,72.60
2022-11-16,106.04,71.15
2022-10-10,112.08,73.80
2022-11-04,114.00,75.00
2022-12-09,103.90,71.40
2022-07-01,95.63,67.52
2022-07-04,95.20,66.81
2022-07-05,94.80,66.44
2022-07-06,95.42,66.31
2022-07-07,97.38,67.38
2022-07-08,96.88,67.18
2022-07-11,94.80,65.87
2022-07-12,94.90,66.00
2022-07-13,94.51,65.90
2022-07-14,92.55,65.05
2022-07-15,93.27,65.45
2022-07-18,93.37,65.90
2022-07-19,94.70,66.25
2022-07-20,94.95,66.30
2022-07-21,95.35,66.75
2022-07-22,95.42,66.75
2022-07-25,96.75,67.40
2022-07-26,96.15,67.45
2022-07-27,97.83,67.90
2022-07-28,99.10,68.35
2022-07-29,99.30,68.90
2022-08-01,98.56,68.55
2022-08-02,99.53,69.10
2022-08-03,100.20,69.50
2022-08-04,102.48,70.26
2022-08-05,102.74,70.85
2022-08-08,104.80,72.00
2022-08-09,105.05,72.25
2022-08-10,106.56,72.55
2022-08-11,105.88,72.85
2022-08-12,108.64,73.60
2022-08-15,108.97,74.01
2022-08-16,109.76,74.15
2022-08-17,109.99,75.25
2022-08-18,109.94,74.70
2022-08-19,107.53,73.25
2022-08-22,106.73,73.15
2022-08-23,109.10,73.90
2022-08-24,109.18,73.30
2022-08-25,109.60,73.20
2022-08-26,108.36,72.55
2022-08-29,108.40,73.15
2022-08-30,106.40,71.80
2022-08-31,105.83,71.90
2022-09-01,106.59,72.05
2022-09-02,107.09,72.15
2022-09-05,108.45,72.55
2022-09-06,105.95,71.35
2022-09-08,106.18,71.17
2022-09-09,108.40,72.80
2022-09-12,109.55,72.70
2022-09-13,106.98,71.30
2022-09-14,106.75,70.85
2022-09-15,106.11,70.70
2022-09-16,105.60,70.45
2022-09-19,108.22,71.90
2022-09-20,108.85,72.40
2022-09-21,108.16,72.10
2022-09-22,110.13,73.50
2022-09-23,107.84,72.12
2022-09-26,105.13,70.10
2022-09-27,104.68,69.45
2022-09-28,104.82,69.25
2022-09-29,103.80,68.90
2022-09-30,106.46,70.65
2022-10-03,112.40,74.02
2022-10-04,112.35,73.40
2022-10-05,113.32,73.80
2022-10-06,113.47,74.09
2022-10-07,112.78,73.65
2022-12-08,103.57,71.00
2022-11-23,105.24,71.35
2022-10-28,113.00,73.00
2022-11-25,105.07,71.75
2022-12-12,101.80,69.95
2022-10-21,116.43,76.06
2022-12-13,100.30,68.80
2022-10-11,110.89,72.60
2022-12-14,100.70,69.25
2022-11-07,111.22,73.20
2022-12-15,100.50,68.80
2022-11-30,108.58,73.50
2022-10-31,112.15,73.00
2022-12-16,99.40,68.60
2022-10-13,110.26,72.35
2022-12-19,101.37,69.10
2022-12-20,103.55,70.55
2022-10-24,112.14,74.60
2022-12-21,103.87,71.50
2022-12-22,103.93,71.10
2022-11-14,109.24,72.80
2022-11-10,106.10,70.60
2022-12-23,106.00,72.50
2022-12-26,105.15,71.55
2022-12-27,104.90,71.94
2022-12-28,106.80,72.50
2022-10-14,108.22,71.10
2022-11-24,108.20,72.95
2022-10-25,110.48,73.16
2022-12-29,105.95,72.69
2022-11-21,106.08,72.00
2022-10-17,109.90,72.10
2022-11-01,112.81,73.90
2022-11-08,112.30,73.85
2022-11-22,105.07,71.22
2022-11-18,104.85,69.95
2022-10-18,111.94,73.40
2022-10-26,108.78,71.75
2022-11-17,105.69,70.40
2022-11-11,108.55,72.85
2022-11-03,113.10,73.90
2022-10-19,112.35,73.75
2022-12-07,105.59,72.20
2022-10-27,110.00,73.00
2023-01-02,102.63,71.20
2023-01-03,100.48,69.50
2023-01-04,101.92,70.30
2023-01-05,104.27,71.50
2023-01-06,105.50,72.15
2023-01-09,105.35,73.08
2023-01-10,107.18,74.10
2023-01-11,109.10,74.75
2023-01-12,108.26,74.60
2023-01-13,107.35,74.05
2023-01-16,105.47,73.65
2023-01-17,107.80,75.10
2023-01-18,108.33,75.35
2023-01-19,109.11,75.85
2023-01-20,108.45,75.95
2023-01-23,107.90,75.30
2023-01-24,109.43,75.95
2023-01-25,110.65,76.80
2023-01-26,110.42,77.13
2023-01-27,108.40,75.90
2023-01-30,108.70,75.80
2023-01-31,109.84,76.60
2023-02-01,108.40,75.23
2023-02-02,106.30,73.90
2023-02-03,104.87,73.18
2023-02-06,105.25,73.32
2023-02-07,104.10,72.75
2023-02-08,106.34,73.70
2023-02-09,104.44,72.40
2023-02-10,104.75,73.00
2023-02-13,105.47,73.05
2023-02-14,104.43,72.68
2023-02-15,106.05,73.35
2023-02-16,106.50,73.50
2023-02-17,105.56,73.25
2023-02-22,103.60,71.85
2023-02-23,104.15,72.09
2023-02-24,102.38,71.50
2023-02-27,102.29,71.56
2023-02-28,101.15,70.85
2023-03-01,101.20,71.10
2023-03-02,99.94,70.75
2023-03-03,100.42,71.05
2023-03-06,101.47,71.40
2023-03-07,100.90,71.00
2023-03-08,103.22,72.05
2023-03-09,101.56,71.15
2023-03-10,100.21,70.25
2023-03-13,99.78,69.98
2023-03-14,99.58,70.10
2023-03-15,99.39,69.80
2023-03-16,100.00,70.00
2023-03-17,98.85,68.80
2023-03-20,97.70,68.10
2023-03-21,97.93,67.80
2023-03-22,97.03,67.70
2023-03-23,94.58,66.65
2023-03-24,95.86,67.40
2023-03-27,96.54,68.09
2023-03-28,98.03,68.88
2023-03-29,98.55,69.02
2023-03-30,100.47,70.19
2023-03-31,98.49,69.66
2023-04-03,98.30,69.42
2023-04-04,98.51,69.75
2023-04-05,97.63,69.17
2023-04-06,97.59,69.15
2023-04-10,98.66,69.93
2023-04-11,102.91,72.10
2023-04-12,103.35,72.94
2023-04-13,102.93,72.88
2023-04-14,103.04,72.80
2023-04-17,102.71,72.80
2023-04-18,102.70,72.98
2023-04-19,100.48,71.94
2023-04-20,101.00,72.16
2023-04-24,100.62,71.78
2023-04-25,99.92,71.19
2023-04-26,99.01,70.75
2023-04-27,99.53,71.20
2023-04-28,100.90,72.17
2023-05-02,98.49,70.87
2023-05-03,98.60,70.85
2023-05-04,98.95,70.80
2023-05-05,101.91,72.37
2023-05-08,102.49,72.72
2023-05-09,103.80,73.15
2023-05-10,103.97,73.22
2023-05-11,104.82,73.57
2023-05-12,105.05,73.51
2023-05-15,105.47,73.73
2023-05-16,104.63,73.14
2023-05-17,106.01,73.65
2023-05-18,106.75,74.14
2023-05-19,107.16,74.55
2023-05-22,106.55,74.57
2023-05-23,106.44,74.42
2023-05-24,105.27,73.79
2023-05-25,106.55,74.19
2023-05-26,107.51,74.65
2023-05-29,106.77,74.61
2023-05-30,105.38,73.66
2023-05-31,104.84,73.23
2023-06-01,107.20,73.80
2023-06-02,109.02,75.09
2023-06-05,109.14,75.21
2023-06-06,111.07,76.30
2023-06-07,111.78,76.78
2023-06-09,113.21,78.15
2023-06-12,113.64,78.45
2023-06-13,112.94,77.91
2023-06-14,115.11,79.42
2023-06-15,115.40,79.34
2023-06-16,114.90,79.00
2023-06-19,116.13,79.87
2023-06-20,115.82,80.03
2023-06-21,116.27,80.50
2023-06-22,115.26,79.35
2023-06-23,115.31,79.69
2023-06-26,114.42,79.30
2023-06-27,113.77,79.00
2023-06-28,113.03,78.42
2023-06-29,114.91,79.65
2023-06-30,114.17,79.30
2023-07-03,115.94,79.95
2023-07-04,115.24,79.81
2023-07-05,115.84,79.85
2023-07-06,113.64,78.98
2023-07-07,115.19,79.65
2023-07-10,114.10,79.21
2023-07-11,113.80,78.84
2023-07-12,113.83,79.20
2023-07-13,115.58,80.26
2023-07-14,113.96,79.45
2023-07-17,114.71,79.58
2023-07-18,113.95,79.30
2023-07-19,113.75,78.88
2023-07-20,114.34,79.03
2023-07-21,116.40,79.84
2023-07-24,117.57,80.64
2023-07-25,117.98,81.41
2023-07-26,118.74,81.90
2023-07-27,116.04,80.26
2023-07-28,116.52,80.46
2023-07-31,117.95,81.63
2023-08-01,117.52,81.36
2023-08-02,117.01,81.34
2023-08-03,116.71,81.38
2023-08-04,115.66,80.79
2023-08-07,115.61,80.50
2023-08-08,115.27,80.02
2023-08-09,114.70,79.40
2023-08-10,114.51,79.45
2023-08-11,114.25,79.58
2023-08-14,113.31,79.36
2023-08-15,112.37,78.93
2023-08-16,111.87,79.08
2023-08-17,111.36,78.65
2023-08-18,111.70,78.76
2023-08-21,110.79,78.34
2023-08-22,112.41,79.38
2023-08-23,114.30,80.18
2023-08-24,113.30,79.66
2023-08-25,112.15,79.24
2023-08-28,113.50,79.96
2023-08-29,114.62,80.81
2023-08-30,113.90,80.58
2023-08-31,112.31,79.40
2023-09-01,114.05,80.69
2023-09-04,114.14,80.66
2023-09-05,113.62,80.32
2023-09-06,112.25,79.61
2023-09-08,111.66,79.19
2023-09-11,113.48,80.31
2023-09-12,114.22,81.03
2023-09-13,114.46,80.93
2023-09-14,115.59,81.76
2023-09-15,114.92,81.94
2023-09-18,114.65,81.45
2023-09-19,114.10,81.38
2023-09-20,115.03,82.05
2023-09-21,112.60,80.95
2023-09-22,112.61,80.66
2023-09-25,112.57,80.65
